lead_id,first_name,last_name,full_name,company,title,email,phone,mobile_phone,website,lead_source,status,industry,rating,annual_revenue,number_of_employees,is_converted,converted_date,converted_account_id,converted_contact_id,converted_opportunity_id,has_opted_out_of_email,has_opted_out_of_fax,do_not_call,has_email,has_phone,last_activity_date,owner_id,created_date,last_modified_date,system_modstamp
00QHp00001TVByLMAX,Bertha,Boxer,Bertha Boxer,Farmers Coop. of Florida,Director of Vendor Relations,bertha@fcof.net,(850) 644-4200,,,Web,Working - Contacted,Agriculture,Hot,900750000,,0,,000000000000000AAA,000000000000000AAA,000000000000000AAA,0,0,0,true,true,,005Hp00000hnUYPIA2,2023-10-28,2023-10-28 20:45:25,2023-10-28 20:54:20
00QHp00001TVByMMAX,Phyllis,Cotton,Phyllis Cotton,Abbott Insurance,CFO,pcotton@abbottins.net,(703) 757-1000,,,Web,Open - Not Contacted,,,,,0,,000000000000000AAA,000000000000000AAA,000000000000000AAA,0,0,0,true,true,,005Hp00000hnUYPIA2,2023-10-28,2023-10-28 20:45:25,2023-10-28 20:54:20
00QHp00001TVByNMAX,Jeff,Glimpse,Jeff Glimpse,Jackson Controls,"SVP, Procurement",jeffg@jackson.com,886-2-25474189,,,Phone Inquiry,Open - Not Contacted,,,,,0,,000000000000000AAA,000000000000000AAA,000000000000000AAA,0,0,0,true,true,,005Hp00000hnUYPIA2,2023-10-28,2023-10-28 20:45:25,2023-10-28 20:54:20
00QHp00001TVByOMAX,Mike,Braund,Mike Braund,Metropolitan Health Services,"VP, Technology",likeb@metro.com,(410) 381-2334,,,Purchased List,Open - Not Contacted,,,,,0,,000000000000000AAA,000000000000000AAA,000000000000000AAA,0,0,0,true,true,,005Hp00000hnUYPIA2,2023-10-28,2023-10-28 20:45:25,2023-10-28 20:54:20
00QHp00001TVByPMAX,Patricia,Feager,Patricia Feager,International Shipping Co.,CEO,patricia_feager@is.com,(336) 777-1970,,,Partner Referral,Working - Contacted,,,,,0,,000000000000000AAA,000000000000000AAA,000000000000000AAA,0,0,0,true,true,,005Hp00000hnUYPIA2,2023-10-28,2023-10-28 20:45:25,2023-10-28 20:54:20
00QHp00001TVByQMAX,Brenda,Mcclure,Brenda Mcclure,Cadinal Inc.,CFO,brenda@cardinal.net,(847) 262-5000,,,Web,Working - Contacted,,,,,0,,000000000000000AAA,000000000000000AAA,000000000000000AAA,0,0,0,true,true,,005Hp00000hnUYPIA2,2023-10-28,2023-10-28 20:45:25,2023-10-28 20:54:20
00QHp00001TVByRMAX,Violet,Maccleod,Violet Maccleod,Emerson Transport,"VP, Finance",violetm@emersontransport.com,(770) 395-2370,,,Phone Inquiry,Working - Contacted,,,,,0,,000000000000000AAA,000000000000000AAA,000000000000000AAA,0,0,0,true,true,,005Hp00000hnUYPIA2,2023-10-28,2023-10-28 20:45:25,2023-10-28 20:54:20
00QHp00001TVBySMAX,Kathy,Snyder,Kathy Snyder,TNR Corp.,Regional General Manager,ksynder@tnr.net,(860) 273-0123,,,Purchased List,Working - Contacted,,,,,0,,000000000000000AAA,000000000000000AAA,000000000000000AAA,0,0,0,true,true,,005Hp00000hnUYPIA2,2023-10-28,2023-10-28 20:45:25,2023-10-28 20:54:20
00QHp00001TVByTMAX,Tom,James,Tom James,Delphi Chemicals,"SVP, Production",tom.james@delphi.chemicals.com,(952) 346-3500,,,Web,Working - Contacted,,,,,0,,000000000000000AAA,000000000000000AAA,000000000000000AAA,0,0,0,true,true,,005Hp00000hnUYPIA2,2023-10-28,2023-10-28 20:45:25,2023-10-28 20:54:20
00QHp00001TVByUMAX,Shelly,Brownell,Shelly Brownell,Western Telecommunications Corp.,"SVP, Technology",shellyb@westerntelecom.com,(408) 326-9000,,,Partner Referral,Working - Contacted,,,,,0,,000000000000000AAA,000000000000000AAA,000000000000000AAA,0,0,0,true,true,,005Hp00000hnUYPIA2,2023-10-28,2023-10-28 20:45:25,2023-10-28 20:54:20
00QHp00001TVByVMAX,Pamela,Owenby,Pamela Owenby,Hendrickson Trading,"SVP, Technology",pam_owenby@hendricksontrading.com,(570) 326-1571,,,Partner Referral,Closed - Not Converted,,,,,0,,000000000000000AAA,000000000000000AAA,000000000000000AAA,0,0,0,true,true,,005Hp00000hnUYPIA2,2023-10-28,2023-10-28 20:45:25,2023-10-28 20:54:20
00QHp00001TVByWMAX,Norm,May,Norm May,Greenwich Media,"VP, Facilities",norm_may@greenwich.net,(419) 289-3555,,,Web,Working - Contacted,,,,,0,,000000000000000AAA,000000000000000AAA,000000000000000AAA,0,0,0,true,true,,005Hp00000hnUYPIA2,2023-10-28,2023-10-28 20:45:25,2023-10-28 20:54:20
00QHp00001TVByXMAX,Pat,Stumuller,Pat Stumuller,Pyramid Construction Inc.,"SVP, Administration and Finance",pat@pyramid.net,33562156600,,,Phone Inquiry,Closed - Converted,,,,,0,,000000000000000AAA,000000000000000AAA,000000000000000AAA,0,0,0,true,true,,005Hp00000hnUYPIA2,2023-10-28,2023-10-28 20:45:25,2023-10-28 20:54:20
00QHp00001TVByYMAX,Andy,Young,Andy Young,Dickenson plc,"SVP, Operations",a_young@dickenson.com,(620) 241-6200,,,Purchased List,Closed - Converted,,,,,0,,000000000000000AAA,000000000000000AAA,000000000000000AAA,0,0,0,true,true,,005Hp00000hnUYPIA2,2023-10-28,2023-10-28 20:45:25,2023-10-28 20:54:20
00QHp00001TVByZMAX,Kristen,Akin,Kristen Akin,Aethna Home Products,"Director, Warehouse Mgmt",kakin@athenahome.com,(434) 369-3100,,,Partner Referral,Working - Contacted,,,,,0,,000000000000000AAA,000000000000000AAA,000000000000000AAA,0,0,0,true,true,,005Hp00000hnUYPIA2,2023-10-28,2023-10-28 20:45:25,2023-10-28 20:54:20
00QHp00001TVByaMAH,David,Monaco,David Monaco,Blues Entertainment Corp.,CFO,david@blues.com,(033) 452-1299,,,Purchased List,Working - Contacted,,,,,0,,000000000000000AAA,000000000000000AAA,000000000000000AAA,0,0,0,true,true,,005Hp00000hnUYPIA2,2023-10-28,2023-10-28 20:45:25,2023-10-28 20:54:20
00QHp00001TVBybMAH,Carolyn,Crenshaw,Carolyn Crenshaw,Ace Iron and Steel Inc.,"VP, Technology",carolync@aceis.com,(251) 679-2200,,,Phone Inquiry,Closed - Not Converted,,,,,0,,000000000000000AAA,000000000000000AAA,000000000000000AAA,0,0,0,true,true,,005Hp00000hnUYPIA2,2023-10-28,2023-10-28 20:45:25,2023-10-28 20:54:20
00QHp00001TVBycMAH,Jack,Rogers,Jack Rogers,Burlington Textiles Corp of America,"VP, Facilities",jrogers@btca.com,(336) 222-7000,,,Web,Closed - Converted,Apparel,Warm,350000000,9000,0,,000000000000000AAA,000000000000000AAA,000000000000000AAA,0,0,0,true,true,,005Hp00000hnUYPIA2,2023-10-28,2023-10-28 20:45:25,2023-10-28 20:54:20
00QHp00001TVBydMAH,Bill,Dadio Jr,Bill Dadio Jr,Zenith Industrial Partners,CFO,bill_dadio@zenith.com,(614) 431-5000,,,Web,Closed - Not Converted,,,,,0,,000000000000000AAA,000000000000000AAA,000000000000000AAA,0,0,0,true,true,,005Hp00000hnUYPIA2,2023-10-28,2023-10-28 20:45:25,2023-10-28 20:54:20
00QHp00001TVByeMAH,Eugena,Luce,Eugena Luce,Pacific Retail Group,CEO,eluce@pacificretail.com,(781) 270-6500,,,Purchased List,Closed - Not Converted,,,,,0,,000000000000000AAA,000000000000000AAA,000000000000000AAA,0,0,0,true,true,,005Hp00000hnUYPIA2,2023-10-28,2023-10-28 20:45:25,2023-10-28 20:54:20
00QHp00001TVByfMAH,Sandra,Eberhard,Sandra Eberhard,Highland Manufacturing Ltd.,"VP, Production",sandra_e@highland.net,(626) 440-0700,,,Purchased List,Working - Contacted,,,,,0,,000000000000000AAA,000000000000000AAA,000000000000000AAA,0,0,0,true,true,,005Hp00000hnUYPIA2,2023-10-28,2023-10-28 20:45:25,2023-10-28 20:54:20
00QHp00001TVBygMAH,Betty,Bair,Betty Bair,American Banking Corp.,"VP, Administration",bblair@abankingco.com,(610) 265-9100,,,Purchased List,Working - Contacted,,,,,0,,000000000000000AAA,000000000000000AAA,000000000000000AAA,0,0,0,true,true,,005Hp00000hnUYPIA2,2023-10-28,2023-10-28 20:45:25,2023-10-28 20:54:20
